R-OTE
FrameNum,Time,Value,Ref1,Ref2,Ref3
340,[19:00:14.9100],1925.538462,3384.000000,6411.000000,4231.090909
341,[19:00:15.2080],1962.000000,4760.272727,6015.000000,3601.615385
342,[19:00:15.5080],1635.166667,3853.500000,6242.000000,2762.000000
343,[19:00:15.8100],1321.000000,2988.461538,4056.000000,2770.833333
344,[19:00:16.1130],947.230769,2290.000000,4932.500000,2438.000000
345,[19:00:16.4100],2191.200000,3479.000000,4589.000000,2684.000000
346,[19:00:16.7100],1625.000000,4498.000000,6456.000000,3158.230769
347,[19:00:17.0100],2137.000000,4389.769231,5738.769231,3290.461538
348,[19:00:17.3100],1810.000000,3729.000000,6048.615385,3158.538462
349,[19:00:17.6100],2330.076923,3999.000000,5464.000000,3969.923077
350,[19:00:17.9100],1001.000000,3452.000000,5287.000000,3413.923077
351,[19:00:18.2100],2186.800000,4173.000000,6032.230769,3409.666667
352,[19:00:18.5110],1807.923077,5089.000000,6682.000000,4261.000000
353,[19:00:18.8100],1964.384615,3966.076923,7839.444444,4559.000000
354,[19:00:19.1100],2813.000000,5402.000000,8648.538462,3960.000000
355,[19:00:19.4100],2382.461538,5279.000000,7620.200000,4490.307692
356,[19:00:19.7100],2437.923077,4201.000000,6644.461538,3227.000000
357,[19:00:20.0110],3048.222222,5225.800000,5988.923077,3288.000000
358,[19:00:20.3080],1841.000000,3188.769231,6280.166667,3749.384615
359,[19:00:20.6100],2681.363636,3517.307692,5931.000000,4661.500000
360,[19:00:20.9100],2449.615385,5826.000000,6281.000000,3403.454545
361,[19:00:21.2100],2157.636364,4453.153846,6001.000000,4192.000000
362,[19:00:21.5110],2437.846154,3357.692308,5476.000000,3795.500000
363,[19:00:21.8100],1616.000000,4011.000000,5995.076923,3535.000000
364,[19:00:22.1100],849.636364,3035.727273,4183.615385,2488.692308
365,[19:00:22.4100],879.076923,3282.076923,5553.000000,3778.666667
366,[19:00:22.7110],1652.153846,4385.000000,6917.727273,3347.000000
367,[19:00:23.0100],2590.200000,3973.846154,5705.000000,2990.538462
368,[19:00:23.3100],2266.000000,3551.818182,5530.846154,3310.000000
369,[19:00:23.6100],2404.250000,4298.333333,5745.000000,3726.538462
370,[19:00:23.9100],2053.818182,3994.000000,6718.769231,4119.000000
371,[19:00:24.2100],2212.076923,5880.666667,6650.333333,3452.500000
372,[19:00:24.5110],2568.000000,5152.090909,6706.833333,2538.000000
373,[19:00:24.8100],1571.333333,4395.000000,6374.000000,4665.666667
374,[19:00:25.1080],1730.000000,4293.000000,7185.500000,3676.000000
375,[19:00:25.4080],2005.076923,4461.307692,5492.307692,3959.500000
376,[19:00:25.7110],1560.000000,4716.307692,5968.000000,3687.333333
377,[19:00:26.0190],653.166667,664.000000,3886.000000,1451.000000
378,[19:00:26.3110],1755.545455,4518.545455,5771.307692,3003.666667
379,[19:00:26.6110],2760.000000,3805.333333,5509.923077,3036.727273
380,[19:00:26.9110],2836.500000,4844.272727,6548.500000,4205.230769
381,[19:00:27.2100],1819.615385,4262.000000,6521.666667,4865.833333
382,[19:00:27.5110],2651.636364,4797.615385,5853.833333,4744.692308
383,[19:00:27.8100],1548.333333,3638.000000,6746.000000,3632.615385
